,YEAR,SOURCE,Data Source ID,ORG_UNIT,ORG_NAME,ORG_PART,ENERGY_TYPE,ENERGY_UNIT,SUB_SECTOR,CONSUMPTION_TOTAL,CONNECTION_TOTAL,EMISSIONS NET IMPORTS (TCO2e),Unnamed: 12,ORG_TYPE
1047,2021,BC Hydro,10080,1005953,Fraser-Fort George,9000000,ELEC,kWh,MIXED,2330499.00783937,37,22.605836647243475,2021ELECkWh,Regional District
1065,2021,BC Hydro,10080,1005949,Kitimat-Stikine,9000000,ELEC,kWh,MIXED,3537640.486563356,49,34.315107059439775,2021ELECkWh,Regional District
1085,2021,BC Hydro,10080,1005915,Metro-Vancouver,9000000,ELEC,kWh,MIXED,96080669.08057173,311,931.9823363524752,2021ELECkWh,Regional District
1088,2021,BC Hydro,10080,1005943,Mount Waddington,9000000,ELEC,kWh,MIXED,1810830.946116743,39,17.565057280002893,2021ELECkWh,Regional District
1091,2021,BC Hydro,10080,5921007,Nanaimo,1005921,ELEC,kWh,MIXED,14151275.2119,2,137.26734691338964,2021ELECkWh,Regional District
1098,2021,BC Hydro,10080,1005937,North Okanagan,9000000,ELEC,kWh,MIXED,20412809.744298708,47,198.00422185920186,2021ELECkWh,Regional District
1107,2021,BC Hydro,10080,1005907,Okanagan-Similkameen,9000000,ELEC,kWh,MIXED,1013814.9686080216,26,9.83400357339386,2021ELECkWh,Regional District
1111,2021,BC Hydro,10080,1005955,Peace River,9000000,ELEC,kWh,MIXED,15485421.507898571,65,150.20856384994173,2021ELECkWh,Regional District
1125,2021,BC Hydro,10080,5927008,Powell River,1005927,ELEC,kWh,MIXED,5857781.28158271,7,56.82046905890224,2021ELECkWh,Regional District
1126,2021,BC Hydro,10080,1005927,Powell River,9000000,ELEC,kWh,MIXED,6111238.329949377,20,59.27900202252763,2021ELECkWh,Regional District
1144,2021,BC Hydro,10080,1005947,Skeena-Queen Charlotte,9000000,ELEC,kWh,MIXED,7821858.125480184,74,75.87201130218479,2021ELECkWh,Regional District
1151,2021,BC Hydro,10080,1005931,Squamish-Lillooet,9000000,ELEC,kWh,MIXED,4308301.134557653,19,41.79051411192742,2021ELECkWh,Regional District
1154,2021,BC Hydro,10080,1005957,Stikine,9000000,ELEC,kWh,MIXED,530968.7803059706,15,5.150396319417866,2021ELECkWh,Regional District
1156,2021,BC Hydro,10080,1005924,Strathcona,9000000,ELEC,kWh,MIXED,16082784.049326284,50,156.00297954601047,2021ELECkWh,Regional District
1159,2021,BC Hydro,10080,1005929,Sunshine Coast,9000000,ELEC,kWh,MIXED,3285290.0326479925,11,31.867308060221472,2021ELECkWh,Regional District
1166,2021,BC Hydro,10080,1005933,Thompson-Nicola,9000000,ELEC,kWh,MIXED,9310910.13329256,129,90.31581339548161,2021ELECkWh,Regional District
5604,2021,Fortis Electric,10010,1005903,Central Kootenay,9000000,ELEC,kWh,Res,234349269,19589,2273.1875343411693,2021ELECkWh,Regional District
5605,2021,Fortis Electric,10010,1005905,Kootenay Boundary,9000000,ELEC,kWh,Res,160490688.02999997,15499.999999999998,1556.7594171058988,2021ELECkWh,Regional District
5606,2021,Fortis Electric,10010,1005907,Okanagan-Similkameen,9000000,ELEC,kWh,Res,266067010.99999994,23244,2580.8495809927817,2021ELECkWh,Regional District
5607,2021,Fortis Electric,10010,1005935,Central Okanagan,9000000,ELEC,kWh,Res,706234217,68864,6850.470774925253,2021ELECkWh,Regional District
5634,2021,Fortis Electric,10010,1005903,Central Kootenay,9000000,ELEC,kWh,CSMI,398145312.38,3218,3862.0088930535,2021ELECkWh,Regional District
5635,2021,Fortis Electric,10010,1005905,Kootenay Boundary,9000000,ELEC,kWh,CSMI,331405054.27000004,2619,3214.6284961709134,2021ELECkWh,Regional District
5636,2021,Fortis Electric,10010,1005907,Okanagan-Similkameen,9000000,ELEC,kWh,CSMI,701822148.23,4454,6807.673714915562,2021ELECkWh,Regional District
5637,2021,Fortis Electric,10010,1005935,Central Okanagan,9000000,ELEC,kWh,CSMI,723219930.7199999,9429,7015.23217083211,2021ELECkWh,Regional District
11239,2021,New Westminster Electrical Utility,10180,1005915,Metro-Vancouver,9000000,ELEC,kWh,Res,215322686,34557,2088.6297096837025,2021ELECkWh,Regional District
11240,2021,New Westminster Electrical Utility,10180,1005915,Metro-Vancouver,9000000,ELEC,kWh,CSMI,231008068,2566,2240.777889987091,2021ELECkWh,Regional District
11291,2021,Nelson Electric,10170,1005903,Central Kootenay,9000000,ELEC,kWh,Res,104415281,9570,1012.8280586355504,2021ELECkWh,Regional District
11292,2021,Nelson Electric,10170,1005903,Central Kootenay,9000000,ELEC,kWh,CSMI,47915022,1301,464.7756367359648,2021ELECkWh,Regional District
11359,2021,City of Grand Forks,10220,1005905,Kootenay Boundary,9000000,ELEC,kWh,Res,18094000,1937,175.5117710496,2021ELECkWh,Regional District
11360,2021,City of Grand Forks,10220,1005905,Kootenay Boundary,9000000,ELEC,kWh,CSMI,16671000,332,161.7086733264,2021ELECkWh,Regional District
11407,2021,City of Penticton ,10210,1005907,Okanagan-Similkameen,9000000,ELEC,kWh,Res,175827302,17686,1705.5245480763167,2021ELECkWh,Regional District
11408,2021,City of Penticton ,10210,1005907,Okanagan-Similkameen,9000000,ELEC,kWh,CSMI,157494147,1878,1527.6929739093648,2021ELECkWh,Regional District
11549,2021,City of Summerland ,10200,1005907,Okanagan-Similkameen,9000000,ELEC,kWh,Res,63927327,5528,620.0949696162768,2021ELECkWh,Regional District
11550,2021,City of Summerland ,10200,1005907,Okanagan-Similkameen,9000000,ELEC,kWh,CSMI,26567962,538,257.7091888912608,2021ELECkWh,Regional District
