,BC_ALH_RES,BC_ALU_RES,BC_BR1_RES,BC_GMS_RES,BC_LDR_RES,BC_MCA_RES,BC_REV_RES,BC_SCA_RES,BC_SEV_RES,BC_SON_RES,BC_WGS_RES,BC_JHT_RES,BC_PCN_RES,BC_RUS_RES,BC_SFL_RES,BC_STC_RES
2021-11-25 08:00:00,189083.60188879093,8410.444852653502,71800.40128143641,1911305.0008172137,62552.205457309334,651994.3401045065,343207.22507205105,316606.6915208633,1047672.3139627514,35418.61154523019,12271.297671792434,0.0,0.0,0.0,0.0,0.0
2021-11-25 09:00:00,189601.666181058,8668.953143773571,71859.39116587126,1911076.0472907457,63988.59375241854,651707.3790686975,343233.24856348895,331911.439196258,1044043.4830083479,35406.63889299793,12267.267417626748,0.0,0.0,0.0,0.0,0.0
2021-11-25 10:00:00,190654.26451029678,8999.984628191753,71534.98586817276,1908664.6036695393,60261.310129990256,651015.2544450553,343092.76989327435,344503.3171306302,1048491.0073456034,35403.176036160854,12272.04405073068,0.0,0.0,0.0,0.0,0.0
2021-11-25 11:00:00,191168.79970831826,9828.068059940339,71725.16614696027,1907475.7337325546,60101.53251456067,651492.9936260914,343073.36353316443,349907.78779826435,1066709.978456192,35411.77738442203,12274.27278534749,0.0,0.0,0.0,0.0,0.0
2021-11-25 12:00:00,191587.98709855817,9716.74221891903,71822.62264074662,1906582.9917735818,67013.54036546544,651089.0104264857,343089.23319908115,376493.9787295576,1071872.6507767653,35419.731975470306,12266.141724133979,0.0,0.0,0.0,0.0,0.0
2021-11-25 13:00:00,191639.15135884727,10022.726710605031,71883.07804890338,1908074.120581549,63305.48176909737,651254.0323820395,343309.558420981,404328.8564783407,1075056.5738456568,35424.6258812084,12262.088165042727,0.0,0.0,0.0,0.0,0.0
2021-11-25 14:00:00,191841.33313286875,10460.426400963575,71439.43534761548,1907220.9114289265,58644.13336794323,650863.9702395417,343220.08333952446,422381.7506434942,1080841.1059071778,35392.594461438675,12262.201222277989,0.0,0.0,0.0,0.0,0.0
2021-11-25 15:00:00,191599.86625760925,10993.28624954212,71329.41631162525,1906691.7630871895,55973.83556007201,650318.2279002893,343410.7509907448,422393.24248900247,1074855.6403838147,35382.509728042074,12260.701037548411,0.0,0.0,0.0,0.0,0.0
2021-11-25 16:00:00,191665.68359446025,10591.568096663255,71404.01404140392,1906159.470256317,53857.44131311403,649958.4529436169,343013.54571466986,455936.5312101177,1074503.7369832166,35388.65150963273,12249.468422763593,0.0,0.0,0.0,0.0,0.0
2021-11-25 17:00:00,192494.63100228232,10636.935994576652,71404.01404140392,1905218.2204771768,53056.4849791453,650691.1458004763,342779.60930500075,502653.90167778113,1092683.0570952944,35366.46760618615,12258.1783618073,0.0,0.0,0.0,0.0,0.0
2021-11-25 18:00:00,192699.91103555524,10709.687733669001,71640.56384213913,1904818.8173288368,51977.23461354028,650339.2338764077,342923.9445234609,521139.6550419562,1092603.2262678817,35367.56558694605,12253.65219073169,0.0,0.0,0.0,0.0,0.0
2021-11-25 19:00:00,193050.05856370303,11152.546287595474,71473.56940288281,1910038.8031545316,51079.31980596125,650493.1604117053,343081.3890588214,495638.3396395594,1100224.1283527191,35362.03339069849,12251.142125031758,0.0,0.0,0.0,0.0,0.0
2021-11-25 20:00:00,192218.9679609848,10683.95622896334,71240.7534204606,1908101.498871383,55822.98810108343,650357.8669548928,343118.1608018829,557504.9762877754,1103085.382693561,35354.16136943808,12253.316132457227,0.0,0.0,0.0,0.0,0.0
2021-11-25 21:00:00,193323.4537938057,11592.711521235735,71641.35350998436,1906992.6596970214,52582.17558646231,650301.4841920574,342900.2295319233,574261.2601201094,1100232.6219625196,35348.67106470749,12245.748954300176,0.0,0.0,0.0,0.0,0.0
2021-11-25 22:00:00,193190.65695864626,10127.129636528714,71722.6416053212,1906133.0861383362,49663.07943115252,650927.8729885953,343205.32716089155,565334.0279640061,1090416.2070707425,35339.970514779474,12246.049481526408,0.0,0.0,0.0,0.0,0.0
2021-11-25 23:00:00,192377.342394416,10449.459613540585,71666.70315400165,1904598.5828891087,47362.027555142115,650991.3675067222,343180.2780241103,544624.5239085328,1084923.4683587973,35371.09145535414,12248.717079817588,0.0,0.0,0.0,0.0,0.0
2021-11-26 00:00:00,193188.52744227886,8989.891832487934,71891.56748549621,1904172.3804580572,45481.78206522233,650674.6746795117,343033.6431830234,527968.8920283938,1086066.731685273,35314.17551625194,12242.346307817696,0.0,0.0,0.0,0.0,0.0
2021-11-26 01:00:00,194003.89451123297,10662.756702464601,71600.90991646385,1904702.8576084452,44455.27760788186,652155.1008040861,343223.45073580695,588945.5668976783,1082085.088943796,35298.80088620897,12237.573685076562,0.0,0.0,0.0,0.0,0.0
2021-11-26 02:00:00,194720.34894996983,9341.659314646136,71519.65068356183,1904594.1537763285,43476.2252892125,650748.111083299,343459.87264620943,514059.88599813654,1074510.3652716663,35323.096785271744,12238.099802340435,0.0,0.0,0.0,0.0,0.0
2021-11-26 03:00:00,193800.81430805812,11280.036488568112,71844.41984740591,1906672.786715658,43113.861542011815,651081.6235824778,343624.37088066014,514614.70989702595,1079715.6976282422,35287.031288301456,12240.488333189496,0.0,0.0,0.0,0.0,0.0
2021-11-26 04:00:00,193322.1578017009,10162.896142096855,71842.00365963539,1905167.038086276,42813.95796107499,650959.2624735767,343507.5508590805,442342.876415065,1092804.5081984743,35286.945631861614,12239.534560199661,0.0,0.0,0.0,0.0,0.0
2021-11-26 05:00:00,193860.87803150513,10520.764896655071,71882.26418286875,1904235.6731529473,42862.96562104195,650454.253059238,343270.34409320325,379147.2020953665,1090235.597283841,35294.90245915692,12235.277534699688,0.0,0.0,0.0,0.0,0.0
2021-11-26 06:00:00,193010.86834516778,9698.799700467243,71651.31258386381,1903812.1043553078,42635.0145962151,650208.1315016648,343347.88892006007,315909.1438629003,1085624.037110556,35253.28604180271,12233.640334365282,0.0,0.0,0.0,0.0,0.0
