asset_id,component_id,connecting_node_code,num_of_units,latitude,longitude,capacity,capacity_factor,annual_avg_energy,p_min,nominal_head,max_spill,max_water_discharge,min_water_discharge,gen_type,cascade_group,cascade_order,upper_reservoir_id,lower_reservoir_id,max_level,min_level,min_storage,max_storage,ramp_up,ramp_down,min_up,min_down,min_gen,spinning_reserve_capability,forced_outage_rate,planned_outage_rate,start_up_cost_cold,shutdown_cost,typical_plant_size_MW,capital_cost_CAD_per_kW,service_life_years,fixed_om_cost_CAD_per_MWyear,variable_om_cost_CAD_per_MWh,average_fuel_price_CAD_per_MMBtu,carbon_emissions_tCO2eq_per_MWh,start_year,closure_year,hydro_type,sources
BC_CNK_GSS,BC_CNK00_GEN,BC_CNK_GSS,1,49.176919,-125.395572,5.5,DEFAULT,16.2,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2010,,ror,
BC_COM_GSS,BC_COM00_GEN,BC_COM_GSS,1,49.710933,-123.532108,45.0,DEFAULT,130.54,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,Clowhom Lake,,52.5,45,DEFAULT,DEFAULT,6.75,6.75,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1958,,ror,
BC_COR_GSS,BC_COR01_GEN,BC_COR_GSS,3,49.468877,-117.46863,51.0,DEFAULT,147.95,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_daily,DEFAULT,DEFAULT,Kootenay Lake,Upper Bonnington,,,DEFAULT,DEFAULT,2.55,2.55,1.0,1.0,,0.1,0.05,0.1,0,0.0,100,4007.9,80,115196,5.0,0.0,0.0,1932,,ror,
BC_CRC_GSS,BC_CRC00_GEN,BC_PIN_GSS,1,50.771577,-118.104136,3.0,DEFAULT,9.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2008,,ror,
BC_CSC_DSS,BC_CSC00_GEN,BC_REG_DSS,1,53.109167,-120.194167,6.0,DEFAULT,34.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2014,,ror,
BC_CTN_GSS,BC_CTN00_GEN,BC_CTN_GSS,1,49.877182,-123.159893,15.0,DEFAULT,73.91,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2014,,ror,
BC_CYK_DSS,BC_CYK00_GEN,BC_GLD_DSS,1,49.842749,-126.127661,2.83,DEFAULT,12.39,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2009,,ror,
BC_DGL_GSS,BC_DGL00_GEN,BC_DGL_GSS,1,49.767563,-122.150954,28.76,DEFAULT,142.93,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2009,,ror,
BC_DSQ_GSS,BC_DSQ00_GEN,BC_DSQ_GSS,1,54.383481,-128.914853,20.0,DEFAULT,80.87,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,2014,,ror,
BC_DTR_GSS,BC_DTR00_GEN,BC_DTR_GSS,1,49.296427,-125.275533,6.0,DEFAULT,27.0,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,hydro_run,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,,,1.0,1.0,,0.0,0.05,0.1,0,0.0,65,3250.0,80,55655,1.0,0.0,0.0,1996,,ror,
