,name,x,y,type,v_nom,substation_type
238,138_SLS_DSS,-121.351887,55.714085,ac,138,DSS
239,138_BMW_GSS,-120.426360,55.704126,ac,138,GSS
240,138_NL3_JCT,-120.356588,55.344119,ac,138,JCT
241,138_NL2_ISS,-120.253925,55.278186,ac,138,ISS
242,138_NL5_JCT,-120.432370,55.414509,ac,138,JCT
243,138_NL3_ISS,-120.356588,55.344119,ac,138,ISS
244,138_NL5_ISS,-120.432370,55.414509,ac,138,ISS
245,138_FNG_GSS,-122.693082,58.651699,ac,138,GSS
246,138_WSP_DSS,-122.701609,58.724172,ac,138,DSS
247,138_E42_JCT,-120.528629,55.786875,ac,138,JCT
248,138_E15_JCT,-120.569205,55.880813,ac,138,JCT
249,138_KIS_ISS,-120.560488,55.877658,ac,138,ISS
250,138_E15_ISS,-120.569205,55.880813,ac,138,ISS
251,138_E42_ISS,-120.528629,55.786875,ac,138,ISS
252,138_KLC_JCT,-122.252556,58.627855,ac,138,JCT
253,138_FNC_JCT,-120.067751,58.645250,ac,138,JCT
254,138_FNC_ISS,-120.067751,58.645250,ac,138,ISS
255,138_KLC_DSS,-122.252556,58.627855,ac,138,DSS
256,138_SBK_DSS,-120.909356,56.180774,ac,138,DSS
257,138_TAY_DSS,-120.720662,56.181793,ac,138,DSS
258,138_GMS_GSS,-122.197188,56.013887,ac,138,GSS
259,138_FOX_JCT,-120.973982,56.678386,ac,138,JCT
260,138_FJN_DSS,-120.819985,56.226627,ac,138,DSS
261,138_PPS_JCT,-122.090366,56.016369,ac,138,JCT
262,138_FOX_DSS,-120.973982,56.678386,ac,138,DSS
263,138_PPS_DSS,-122.090366,56.016369,ac,138,DSS
264,138_MWN_JCT,-122.641038,54.428895,ac,138,JCT
265,138_KDS_DSS,-122.788399,55.070415,ac,138,DSS
266,138_SVY_DSS,-122.621031,54.144222,ac,138,DSS
267,138_MWN_DSS,-122.641038,54.428895,ac,138,DSS
268,138_TBN_JCT,-123.158501,55.295451,ac,138,JCT
269,138_FCC_ISS,-123.157173,55.291563,ac,138,ISS
270,138_MFE_DSS,-123.112472,55.319491,ac,138,DSS
271,138_TBN_DSS,-123.158501,55.295451,ac,138,DSS
272,138_PRS_JCT,-123.181066,55.336604,ac,138,JCT
273,138_FFI_ISS,-123.166176,55.321408,ac,138,ISS
274,138_PRS_DSS,-123.181066,55.336604,ac,138,DSS
275,138_TXB_DSS,-120.138347,56.338013,ac,138,DSS
276,138_NGL_ISS,-120.666900,56.148665,ac,138,ISS
277,138_FBC_JCT,-120.654479,56.143947,ac,138,JCT
278,138_MCM_JCT,-120.671073,56.146330,ac,138,JCT
279,138_FBC_DSS,-120.654479,56.143947,ac,138,DSS
280,138_MCM_GSS,-120.671073,56.146330,ac,138,GSS
281,138_MGP_ISS,-120.668918,56.144208,ac,138,ISS
282,138_PLD_JCT,-120.448684,55.910947,ac,138,JCT
283,138_SEP_JCT,-120.874874,56.033714,ac,138,JCT
284,138_ET3_JCT,-120.650154,56.002866,ac,138,JCT
285,138_ET3_ISS,-120.650154,56.002866,ac,138,ISS
286,138_PLD_DSS,-120.448684,55.910947,ac,138,DSS
287,138_SEP_DSS,-120.874874,56.033714,ac,138,DSS
288,138_AYH_DSS,-128.991873,55.280931,ac,138,DSS
289,138_EWL_JCT,-129.115236,56.014668,ac,138,JCT
290,138_MEZ_JCT,-129.382914,56.108431,ac,138,JCT
291,138_LNT_DSS,-129.942502,56.004113,ac,138,DSS
292,138_EWL_DSS,-129.115236,56.014668,ac,138,DSS
293,138_MEZ_DSS,-129.382914,56.108431,ac,138,DSS
294,138_PBL_JCT,-125.450021,54.154288,ac,138,JCT
295,138_BRN_JCT,-125.759190,54.240294,ac,138,JCT
296,138_GLN_DSS,-125.015718,54.074358,ac,138,DSS
297,138_TPY_DSS,-126.293668,54.520480,ac,138,DSS
298,138_BRN_DSS,-125.759190,54.240294,ac,138,DSS
299,138_PBL_ISS,-125.450021,54.154288,ac,138,ISS
300,138_TKW_DSS,-126.765503,54.515284,ac,138,DSS
301,138_SRS_DSS,-127.145775,54.771328,ac,138,DSS
302,138_SKA_DSS,-128.632826,54.452280,ac,138,DSS
303,138_BAB_DSS,-126.204410,54.877863,ac,138,DSS
304,138_HUS_DSS,-126.668508,54.392877,ac,138,DSS
305,138_HFP_ISS,-126.712969,54.377637,ac,138,ISS
306,138_HML_DSS,-127.166748,53.677340,ac,138,DSS
307,138_HZN_DSS,-127.616310,55.242006,ac,138,DSS
308,138_NHS_ISS,-126.711132,54.383939,ac,138,ISS
309,138_EQU_ISS,-126.623444,54.381674,ac,138,ISS
310,138_WNR_JCT,-129.967992,55.952871,ac,138,JCT
311,138_STW_DSS,-129.980589,55.947779,ac,138,DSS
312,138_WNR_ISS,-129.967992,55.952871,ac,138,ISS
313,138_BJT_TSS,-130.027863,56.058365,ac,138,TSS
314,138_LNL_GSS,-130.018495,56.062314,ac,138,GSS
315,138_BJK_ISS,-130.186168,56.465557,ac,138,ISS
316,63_GLM_DSS,-117.675065,49.093084,ac,63,DSS
317,63_FRU_DSS,-117.540945,49.113139,ac,63,DSS
318,63_HER_DSS,-117.490252,49.173467,ac,63,DSS
319,63_SLM_DSS,-117.276773,49.193600,ac,63,DSS
320,63_LBO_GSS,-117.500425,49.461709,ac,63,GSS
321,63_USS_SWS,-117.483272,49.460960,ac,63,SWS
322,63_COR_GSS,-117.468630,49.468877,ac,63,GSS
323,63_TAR_DSS,-117.551725,49.392719,ac,63,DSS
324,63_PLA_DSS,-117.533848,49.447295,ac,63,DSS
325,63_BSS_SWS,-117.612792,49.322809,ac,63,SWS
326,63_OOT_DSS,-117.626652,49.289486,ac,63,DSS
327,63_BLB_DSS,-117.657426,49.250951,ac,63,DSS
328,63_BLB_JCT,-117.657426,49.250951,ac,63,JCT
329,63_CAS_DSS,-117.659423,49.310110,ac,63,DSS
330,63_KRA_GSS,-117.727550,49.336056,ac,63,GSS
