,transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,summer_capacity,winter_capacity,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes
5797,29153,1L204,BC Hydro,BC,British Columbia,1,ac,25.000,15.432,39.120,24.148,138,16.96,154,196,Savona,BC_SVA_DSS,Afton Mine JCT,BC_AFN_JCT,NULL
5798,29154,1L204,BC Hydro,BC,British Columbia,1,ac,9.120,5.630,39.120,24.148,138,16.96,154,196,TransMountain Kamloops JCT,BC_TMT_JCT,Douglas Street,BC_DUG_DSS,NULL
5799,29155,1L204,BC Hydro,BC,British Columbia,1,ac,5.000,3.086,39.120,24.148,138,16.96,154,196,Afton Mine JCT,BC_AFN_JCT,TransMountain Kamloops JCT,BC_TMT_JCT,NULL
5800,29156,1L204AFN,BC Hydro,BC,British Columbia,1,ac,1.000,0.617,1.000,0.617,138,0.43,141,156,Afton Mine JCT,BC_AFN_JCT,Afton Mine,BC_AFN_ISS,NULL
5801,29157,1L204TMT,BC Hydro,BC,British Columbia,1,ac,0.909,0.561,0.909,0.561,138,0.39,106,135,TransMountain Kamloops JCT,BC_TMT_JCT,TransMountain Kamloops,BC_TMT_DSS,NULL
5802,29158,1L205,BC Hydro,BC,British Columbia,1,ac,42.069,25.968,42.069,25.968,138,18.24,107,128,Savona,BC_SVA_DSS,Highland,BC_HLD_DSS,NULL
5803,29159,1L206,BC Hydro,BC,British Columbia,1,ac,35.000,21.605,35.000,21.605,138,15.18,154,191,Savona,BC_SVA_DSS,West Kamloops,BC_WKA_DSS,NULL
5804,29160,1L209,BC Hydro,BC,British Columbia,1,ac,42.000,25.926,108.890,67.216,138,47.21,102,142,Lafarge #2 JCT,BC_LF2_JCT,Chase JCT,BC_CHS_JCT,NULL
5805,29161,1L209,BC Hydro,BC,British Columbia,1,ac,8.000,4.938,108.890,67.216,138,47.21,102,142,Valleyview,BC_VVW_DSS,Lafarge #2 JCT,BC_LF2_JCT,NULL
5806,29162,1L209,BC Hydro,BC,British Columbia,1,ac,40.000,24.691,108.890,67.216,138,47.21,102,142,Sorrento JCT,BC_STO_JCT,Salmon Arm,BC_SAM_DSS,NULL
5807,29163,1L209,BC Hydro,BC,British Columbia,1,ac,18.890,11.660,108.890,67.216,138,47.21,102,142,Chase JCT,BC_CHS_JCT,Sorrento JCT,BC_STO_JCT,NULL
5808,29164,1L209CHS,BC Hydro,BC,British Columbia,1,ac,0.255,0.157,0.255,0.157,138,0.11,141,156,Chase JCT,BC_CHS_JCT,Chase,BC_CHS_DSS,NULL
5809,29165,1L209LF2,BC Hydro,BC,British Columbia,1,ac,0.255,0.157,0.255,0.157,138,0.11,63,122,Lafarge #2 JCT,BC_LF2_JCT,Lafarge #2,BC_LF2_ISS,NULL
5810,29166,1L209STO,BC Hydro,BC,British Columbia,1,ac,0.255,0.157,0.255,0.157,138,0.11,141,156,Sorrento JCT,BC_STO_JCT,Sorrento,BC_STO_DSS,NULL
5811,29167,1L210,BC Hydro,BC,British Columbia,1,ac,25.000,15.432,192.500,118.827,138,83.46,55,105,TransMountain McMurphy JCT,BC_TMM_JCT,Avola JCT,BC_AVO_JCT,NULL
5812,29168,1L210,BC Hydro,BC,British Columbia,1,ac,35.000,21.605,192.500,118.827,138,83.46,104,134,Heffley JCT,BC_HFY_JCT,Barriere JCT,BC_BAR_JCT,NULL
5813,29169,1L210,BC Hydro,BC,British Columbia,1,ac,25.000,15.432,192.500,118.827,138,83.46,104,134,Darfield JCT,BC_DFD_JCT,Blackpool JCT,BC_BLP_JCT,NULL
