name,x,y,type,v_nom
138_VNT_TSS,-119.22887,50.251765,138kV,138
138_LU2_ISS,-119.014352,50.228009,138kV,138
138_TIL_DSS,-119.093948,50.232926,138kV,138
138_SVA_DSS,-120.80052,50.754923,138kV,138
138_AFN_JCT,-120.499705,50.66193,138kV,138
138_TMT_JCT,-120.412978,50.663387,138kV,138
138_DUG_DSS,-120.312386,50.667347,138kV,138
138_AFN_ISS,-120.499705,50.66193,138kV,138
138_TMT_DSS,-120.412978,50.663387,138kV,138
138_WKA_DSS,-120.383898,50.673972,138kV,138
138_CHS_DSS,-119.705148,50.822393,138kV,138
138_STO_JCT,-119.461902,50.867666,138kV,138
138_LF2_JCT,-120.063122,50.660602,138kV,138
138_SAM_DSS,-119.251648,50.69157,138kV,138
138_VVW_DSS,-120.282704,50.680084,138kV,138
138_LF2_ISS,-120.063122,50.660602,138kV,138
138_BAR_JCT,-120.133696,51.199744,138kV,138
138_DFD_JCT,-120.177132,51.312812,138kV,138
138_BLP_JCT,-120.161423,51.566111,138kV,138
138_CLW_JCT,-120.034367,51.654471,138kV,138
138_BKL_DSS,-120.385272,50.708869,138kV,138
138_TOK_JCT,-120.272429,50.843145,138kV,138
138_VBY_JCT,-119.753658,51.590372,138kV,138
138_HFY_JCT,-120.267836,50.848695,138kV,138
138_TMM_JCT,-119.447283,51.676514,138kV,138
138_AVO_JCT,-119.326941,51.784162,138kV,138
138_AVO_DSS,-119.326941,51.784162,138kV,138
138_BAR_DSS,-120.133696,51.199744,138kV,138
138_BLP_DSS,-120.161423,51.566111,138kV,138
138_CLW_DSS,-120.034367,51.654471,138kV,138
138_DFD_DSS,-120.177132,51.312812,138kV,138
138_HFY_DSS,-120.267836,50.848695,138kV,138
138_TMM_DSS,-119.447283,51.676514,138kV,138
138_TOK_DSS,-120.272429,50.843145,138kV,138
138_VBY_DSS,-119.753658,51.590372,138kV,138
138_FPS_JCT,-119.3208,51.913607,138kV,138
138_BLU_JCT,-119.319039,52.117035,138kV,138
138_BET_DSS,-119.181219,52.256067,138kV,138
138_BLE_JCT,-119.306182,52.109612,138kV,138
138_BLE_DSS,-119.306182,52.109612,138kV,138
138_BLU_DSS,-119.319039,52.117035,138kV,138
138_FPS_DSS,-119.3208,51.913607,138kV,138
138_VLM_DSS,-119.281967,52.782441,138kV,138
138_REG_DSS,-119.348863,52.971165,138kV,138
138_ARM_DSS,-119.183626,50.448557,138kV,138
138_RVS_JCT,-119.227242,50.393977,138kV,138
138_END_JCT,-119.144683,50.560141,138kV,138
138_RVG_GSS,-119.227221,50.393909,138kV,138
138_END_DSS,-119.144683,50.560141,138kV,138
138_RVS_DSS,-119.227242,50.393977,138kV,138
138_KWD_JCT,-120.399903,50.68579,138kV,138
