Generator,bus,control,p_nom,carrier,marginal_cost,p_nom_opt,type,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
BC_CYK_DSS RoR Generator,Comox-Strathcona,PQ,3.0,,2.19,3.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_DGL_GSS RoR Generator,FraserValley,PQ,29.0,,2.19,29.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_DSQ_GSS RoR Generator,Kitimat-Stikine,PQ,20.0,,2.19,20.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_DTR_GSS RoR Generator,Alberni-Clayoquot,PQ,6.0,,2.19,6.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_EDR_DSS RoR Generator,CentralOkanagan,PQ,1.0,,1.86,1.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_ELK_GSS RoR Generator,EastKootenay,PQ,6.0,,1.86,6.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_ETR_GSS RoR Generator,PowellRiver,PQ,147.0,,2.19,147.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_ETW_DSS RoR Generator,Fraser-FortGeorge,PQ,2.0,,2.19,2.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_FKR_GSS RoR Generator,Kitimat-Stikine,PQ,24.0,,2.19,24.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_FLS_GSS RoR Generator,Skeena-QueenCharlotte,PQ,4.0,,1.86,4.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_FRE_GSS RoR Generator,FraserValley,PQ,25.0,,2.19,25.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_FRI_GSS RoR Generator,Squamish-Lillooet,PQ,10.0,,2.19,10.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_FZC_DSS RoR Generator,Squamish-Lillooet,PQ,8.0,,2.19,8.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_HAA_GSS RoR Generator,Alberni-Clayoquot,PQ,6.0,,2.19,6.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_HAC_DSS RoR Generator,Fraser-FortGeorge,PQ,2.0,,2.19,2.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_HNC_DSS RoR Generator,FraserValley,PQ,11.0,,2.19,11.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_HYS_DSS RoR Generator,Fraser-FortGeorge,PQ,6.0,,2.19,6.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_JMC_GSS RoR Generator,PowellRiver,PQ,66.0,,2.19,66.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_JME_GSS RoR Generator,Squamish-Lillooet,PQ,21.0,,2.19,21.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_JOR_DFS RoR Generator,Capital,PQ,170.0,,1.86,170.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_KCH_GSS RoR Generator,Thompson-Nicola,PQ,50.0,,2.19,50.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_KCL_GSS RoR Generator,CentralKootenay,PQ,149.0,,1.86,149.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_KKS_GSS RoR Generator,MountWaddington,PQ,45.0,,2.19,45.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_KMO_GSS RoR Generator,Kitimat-Stikine,PQ,113.0,,0.88,113.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_LB0_DFS RoR Generator,GreaterVancouver,PQ,55.0,,1.86,55.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_LBO_GSS RoR Generator,CentralKootenay,PQ,14.0,,1.86,14.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_LCH_GSS RoR Generator,SunshineCoast,PQ,11.0,,2.19,11.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_LLK_DSS RoR Generator,PowellRiver,PQ,37.0,,2.19,37.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
