Line,type,bus0,bus1,length,v_nom,s_nom,x,r,g,b,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
LB1_DFS_PCP_ISS,400,69_LB1_DFS,GreaterVancouver,15.118,69,48.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB1_DFS_SHL_DSS,400,69_LB1_DFS,GreaterVancouver,16.303,69,48.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB1_DFS_IOC_ISS,400,69_LB1_DFS,GreaterVancouver,8.79,69,48.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL_JCT_RUS_GSS_1,620,GreaterVancouver,FraserValley,12.89,69,74.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL_JCT_RUS_GSS_2,620,GreaterVancouver,FraserValley,12.94,69,74.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB1_DFS_LB2_GSS,400,69_LB1_DFS,69_LB2_GSS,1.0,69,48.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFL_GSS_HNY_DSS_1,732,FraserValley,GreaterVancouver,14.902,69,87.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAV_JCT_CLL_JCT,400,Squamish-Lillooet,Thompson-Nicola,11.0,69,48.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFL_GSS_HNY_DSS_2,580,FraserValley,GreaterVancouver,14.777,69,69.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVR_DSS_JRI_JCT,870,GreaterVancouver,69_JRI_JCT,1.0,69,104.0,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
